id	kind	owner_skill	parameterized_suite	definition_location
ARCH-DGM-A02	scenario	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/diagram-contract.md:94
ARCH-DGM-A03	scenario	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/diagram-contract.md:98
ARCH-DGM-A04	scenario	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/diagram-contract.md:102
ARCH-EVENT-001	contract	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/system-contract.md:66
ARCH-EVENT-002	contract	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/system-contract.md:68
ARCH-LIFE-001	contract	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/system-contract.md:84
ARCH-LIFE-002	contract	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/system-contract.md:86
ARCH-ORDER-001	contract	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/system-contract.md:98
ARCH-ORDER-002	contract	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/system-contract.md:100
ARCH-SEC-001	contract	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/system-contract.md:121
ARCH-SEC-002	contract	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/system-contract.md:123
ARCH-SEC-003	contract	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/system-contract.md:125
ARCH-SEC-004	contract	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/system-contract.md:127
ARCH-STATE-001	contract	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/system-contract.md:34
ARCH-STATE-002	contract	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/system-contract.md:36
ARCH-STATE-003	contract	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/system-contract.md:48
ARCH-STATE-004	contract	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/system-contract.md:50
AS-001	contract	implementation-commands-input	CONF-012	.codex/skills/implementation-commands-input/references/slash-expansion.md:31
AS-002	contract	implementation-commands-input	CONF-012	.codex/skills/implementation-commands-input/references/slash-expansion.md:32
AS-003	contract	implementation-commands-input	CONF-012	.codex/skills/implementation-commands-input/references/slash-expansion.md:33
AS-004	contract	implementation-commands-input	CONF-012	.codex/skills/implementation-commands-input/references/slash-expansion.md:34
AUD-A01	scenario	implementation-conformance-audit	CONF-023	.codex/skills/implementation-conformance-audit/SKILL.md:49
AUD-A02	scenario	implementation-conformance-audit	CONF-023	.codex/skills/implementation-conformance-audit/SKILL.md:53
AUD-A03	scenario	implementation-conformance-audit	CONF-023	.codex/skills/implementation-conformance-audit/SKILL.md:57
AUD-A04	scenario	implementation-conformance-audit	CONF-023	.codex/skills/implementation-conformance-audit/SKILL.md:61
AUD-A05	scenario	implementation-conformance-audit	CONF-023	.codex/skills/implementation-conformance-audit/SKILL.md:65
AUD-A06	scenario	implementation-conformance-audit	CONF-023	.codex/skills/implementation-conformance-audit/SKILL.md:71
AUD-A07	scenario	implementation-conformance-audit	CONF-023	.codex/skills/implementation-conformance-audit/SKILL.md:75
AUD-A08	scenario	implementation-conformance-audit	CONF-023	.codex/skills/implementation-conformance-audit/SKILL.md:79
AUD-A09	scenario	implementation-conformance-audit	CONF-023	.codex/skills/implementation-conformance-audit/SKILL.md:83
AUD-A10	scenario	implementation-conformance-audit	CONF-023	.codex/skills/implementation-conformance-audit/SKILL.md:87
AUTH-001	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:24
AUTH-002	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:36
AUTH-003	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:38
AUTH-010	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:42
AUTH-011	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:53
AUTH-012	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:55
AUTH-013	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:57
AUTH-014	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:59
AUTH-015	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:61
AUTH-020	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:65
AUTH-021	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:73
AUTH-022	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:85
AUTH-030	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:89
AUTH-031	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:91
AUTH-032	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:93
AUTH-033	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:95
AUTH-034	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:102
AUTH-040	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:183
AUTH-041	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:185
AUTH-042	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:187
AUTH-043	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:189
AUTH-044	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:106
AUTH-045	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:118
AUTH-050	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:193
AUTH-051	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:195
AUTH-052	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:206
AUTH-053	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:208
AUTH-054	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:210
AUTH-060	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:214
AUTH-061	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:216
AUTH-062	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:218
AUTH-070	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:222
AUTH-071	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:224
AUTH-072	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:226
AUTH-073	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:228
AUTH-074	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:230
AUTH-080	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:234
AUTH-081	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:236
AUTH-090	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:240
AUTH-091	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:242
AUTH-092	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:244
AUTH-093	contract	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:246
AUTH-A01	scenario	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:262
AUTH-A02	scenario	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:264
AUTH-A03	scenario	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:266
AUTH-A04	scenario	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:268
AUTH-A05	scenario	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:270
AUTH-A06	scenario	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:272
AUTH-A07	scenario	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:274
AUTH-A08	scenario	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:276
AUTH-A09	scenario	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:278
AUTH-A10	scenario	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:284
AUTH-A11	scenario	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:286
AUTH-A12	scenario	implementation-auth-network	CONF-020	.codex/skills/implementation-auth-network/references/credential-provider.md:300
BASH-AUTH-001	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:30
BASH-AUTH-002	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:32
BASH-AUTH-003	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:43
BASH-AUTH-004	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:45
BASH-AUTH-005	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:47
BASH-AUTH-010	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:51
BASH-AUTH-011	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:59
BASH-AUTH-012	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:61
BASH-AUTH-013	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:63
BASH-AUTH-014	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:65
BASH-AUTH-015	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:67
BASH-AUTH-016	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:69
BASH-AUTH-017	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:71
BASH-AUTH-018	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:73
BASH-AUTH-019	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:75
BASH-AUTH-020	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:79
BASH-AUTH-021	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:81
BASH-AUTH-022	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:83
BASH-AUTH-030	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:87
BASH-AUTH-031	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:89
BASH-AUTH-032	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:91
BASH-AUTH-033	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:93
BASH-AUTH-034	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:95
BASH-AUTH-040	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:99
BASH-AUTH-041	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:107
BASH-AUTH-042	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:109
BASH-AUTH-043	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:111
BASH-AUTH-044	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:113
BASH-AUTH-045	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:115
BASH-AUTH-046	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:125
BASH-AUTH-047	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:127
BASH-AUTH-048	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:129
BASH-AUTH-049	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:139
BASH-AUTH-050	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:143
BASH-AUTH-051	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:161
BASH-AUTH-052	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:163
BASH-AUTH-060	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:167
BASH-AUTH-061	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:169
BASH-AUTH-062	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:171
BASH-AUTH-063	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:173
BASH-AUTH-064	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:175
BASH-AUTH-065	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:177
BASH-AUTH-070	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:181
BASH-AUTH-071	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:191
BASH-AUTH-072	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:205
BASH-AUTH-073	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:207
BASH-AUTH-074	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:209
BASH-AUTH-075	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:211
BASH-AUTH-080	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:215
BASH-AUTH-081	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:217
BASH-AUTH-082	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:219
BASH-AUTH-083	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:221
BASH-AUTH-084	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:223
BASH-AUTH-085	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:225
BASH-AUTH-086	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:229
BASH-AUTH-087	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:234
BASH-AUTH-088	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:236
BASH-AUTH-089	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:240
BASH-AUTH-090	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:248
BASH-AUTH-091	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:244
BASH-AUTH-092	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:250
BASH-AUTH-093	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:252
BASH-AUTH-094	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:254
BASH-AUTH-095	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:256
BASH-AUTH-100	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:260
BASH-AUTH-101	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:262
BASH-AUTH-102	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:264
BASH-AUTH-103	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:266
BASH-AUTH-104	contract	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:268
BASH-AUTH-F001	scenario	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:286
BASH-AUTH-F002	scenario	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:288
BASH-AUTH-F003	scenario	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:290
BASH-AUTH-F004	scenario	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:292
BASH-AUTH-F005	scenario	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:294
BASH-AUTH-F006	scenario	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:296
BASH-AUTH-F007	scenario	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:298
BASH-AUTH-F008	scenario	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:300
BASH-AUTH-N001	scenario	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:272
BASH-AUTH-N002	scenario	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:274
BASH-AUTH-N003	scenario	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:276
BASH-AUTH-N004	scenario	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:278
BASH-AUTH-N005	scenario	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:280
BASH-AUTH-N006	scenario	implementation-permissions-sandbox	CONF-006	.codex/skills/implementation-permissions-sandbox/references/bash-authorization.md:282
BSKILL-000	contract	implementation-skills-output	CONF-013	.codex/skills/implementation-skills-output/references/bundled-skill-catalog.md:10
BSKILL-001	contract	implementation-skills-output	CONF-013	.codex/skills/implementation-skills-output/references/bundled-skill-catalog.md:17
BSKILL-002	contract	implementation-skills-output	CONF-013	.codex/skills/implementation-skills-output/references/bundled-skill-catalog.md:19
BSKILL-010	contract	implementation-skills-output	CONF-013	.codex/skills/implementation-skills-output/references/bundled-skill-catalog.md:23
BSKILL-011	contract	implementation-skills-output	CONF-013	.codex/skills/implementation-skills-output/references/bundled-skill-catalog.md:25
BSKILL-012	contract	implementation-skills-output	CONF-013	.codex/skills/implementation-skills-output/references/bundled-skill-catalog.md:27
BSKILL-013	contract	implementation-skills-output	CONF-013	.codex/skills/implementation-skills-output/references/bundled-skill-catalog.md:29
BSKILL-014	contract	implementation-skills-output	CONF-013	.codex/skills/implementation-skills-output/references/bundled-skill-catalog.md:31
BSKILL-015	contract	implementation-skills-output	CONF-013	.codex/skills/implementation-skills-output/references/bundled-skill-catalog.md:33
BSKILL-016	contract	implementation-skills-output	CONF-013	.codex/skills/implementation-skills-output/references/bundled-skill-catalog.md:35
BSKILL-017	contract	implementation-skills-output	CONF-013	.codex/skills/implementation-skills-output/references/bundled-skill-catalog.md:37
BSKILL-018	contract	implementation-skills-output	CONF-013	.codex/skills/implementation-skills-output/references/bundled-skill-catalog.md:39
BSKILL-019	contract	implementation-skills-output	CONF-013	.codex/skills/implementation-skills-output/references/bundled-skill-catalog.md:41
BSKILL-020	contract	implementation-skills-output	CONF-013	.codex/skills/implementation-skills-output/references/bundled-skill-catalog.md:43
BSKILL-021	contract	implementation-skills-output	CONF-013	.codex/skills/implementation-skills-output/references/bundled-skill-catalog.md:45
BSKILL-022	contract	implementation-skills-output	CONF-013	.codex/skills/implementation-skills-output/references/bundled-skill-catalog.md:47
BSKILL-023	contract	implementation-skills-output	CONF-013	.codex/skills/implementation-skills-output/references/bundled-skill-catalog.md:49
BSKILL-A01	scenario	implementation-skills-output	CONF-013	.codex/skills/implementation-skills-output/references/bundled-skill-catalog.md:53
BSKILL-A02	scenario	implementation-skills-output	CONF-013	.codex/skills/implementation-skills-output/references/bundled-skill-catalog.md:54
BSKILL-A03	scenario	implementation-skills-output	CONF-013	.codex/skills/implementation-skills-output/references/bundled-skill-catalog.md:55
BSKILL-A04	scenario	implementation-skills-output	CONF-013	.codex/skills/implementation-skills-output/references/bundled-skill-catalog.md:56
BSKILL-A05	scenario	implementation-skills-output	CONF-013	.codex/skills/implementation-skills-output/references/bundled-skill-catalog.md:57
BSKILL-A06	scenario	implementation-skills-output	CONF-013	.codex/skills/implementation-skills-output/references/bundled-skill-catalog.md:58
CA-001	scenario	implementation-commands-input	CONF-012	.codex/skills/implementation-commands-input/references/acceptance.md:20
CA-002	scenario	implementation-commands-input	CONF-012	.codex/skills/implementation-commands-input/references/acceptance.md:21
CA-003	scenario	implementation-commands-input	CONF-012	.codex/skills/implementation-commands-input/references/acceptance.md:22
CA-004	scenario	implementation-commands-input	CONF-012	.codex/skills/implementation-commands-input/references/acceptance.md:23
CA-005	scenario	implementation-commands-input	CONF-012	.codex/skills/implementation-commands-input/references/acceptance.md:24
CA-006	scenario	implementation-commands-input	CONF-012	.codex/skills/implementation-commands-input/references/acceptance.md:28
CA-007	scenario	implementation-commands-input	CONF-012	.codex/skills/implementation-commands-input/references/acceptance.md:29
CA-008	scenario	implementation-commands-input	CONF-012	.codex/skills/implementation-commands-input/references/acceptance.md:30
CA-009	scenario	implementation-commands-input	CONF-012	.codex/skills/implementation-commands-input/references/acceptance.md:31
CA-010	scenario	implementation-commands-input	CONF-012	.codex/skills/implementation-commands-input/references/acceptance.md:32
CA-011	scenario	implementation-commands-input	CONF-012	.codex/skills/implementation-commands-input/references/acceptance.md:36
CA-012	scenario	implementation-commands-input	CONF-012	.codex/skills/implementation-commands-input/references/acceptance.md:37
CA-013	scenario	implementation-commands-input	CONF-012	.codex/skills/implementation-commands-input/references/acceptance.md:38
CA-014	scenario	implementation-commands-input	CONF-012	.codex/skills/implementation-commands-input/references/acceptance.md:39
CA-015	scenario	implementation-commands-input	CONF-012	.codex/skills/implementation-commands-input/references/acceptance.md:40
CA-016	scenario	implementation-commands-input	CONF-012	.codex/skills/implementation-commands-input/references/acceptance.md:44
CA-017	scenario	implementation-commands-input	CONF-012	.codex/skills/implementation-commands-input/references/acceptance.md:45
CA-018	scenario	implementation-commands-input	CONF-012	.codex/skills/implementation-commands-input/references/acceptance.md:46
CA-019	scenario	implementation-commands-input	CONF-012	.codex/skills/implementation-commands-input/references/acceptance.md:47
